,1,,,,2,,,,3,,,,,,,
150300,0,47.71694535,39.53702939,41.22432354,0,47.7184703,39.53867334,41.2257478,0,47.77267804,39.59434816,41.30164358,0,47.68912294,39.50909839,41.19604539
151200,0,47.67375767,39.4938745,41.18715411,0,47.67529913,39.49553533,41.18859825,0,47.730064,39.55176839,41.26509227,0,47.64567933,39.46568308,41.15859584
152100,0,47.71654001,39.56016976,41.24578862,0,47.71806991,39.56179456,41.24723323,0,47.77268113,39.61782657,41.32373612,0,47.68850748,39.53199495,41.2171739
153000,0,47.6822031,39.52613769,41.22042683,0,47.68374619,39.52777585,41.22188439,0,47.73885603,39.58430321,41.29881547,0,47.65393662,39.49772578,41.19159691
153900,0,47.64801277,39.49223399,41.19446229,0,47.64957076,39.49388734,41.1959374,0,47.70522363,39.55095806,41.27341331,0,47.6194924,39.46356397,41.16536773
154800,0,47.61386171,39.45834396,41.16767093,0,47.61543433,39.46001221,41.16916278,0,47.67163037,39.51762671,41.24718037,0,47.5850871,39.42941591,41.13831534
155700,0,47.57671454,39.4218963,41.14686303,0,47.57830282,39.42358013,41.14837242,0,47.63502958,39.48171734,41.22680141,0,47.54754714,39.39256926,41.11713369
156600,0,47.54261477,39.38800219,41.11886392,0,47.54421723,39.38970046,41.12038935,0,47.60147792,39.44837208,41.19934336,0,47.51318103,39.35840512,41.08886273
157500,0,47.50859052,39.35416392,41.09028802,0,47.51020704,39.35587649,41.09182921,0,47.56800155,39.41508261,41.17130738,0,47.47888983,39.32429649,41.06001586
158400,0,47.47464514,39.3203861,41.06120071,0,47.47627569,39.32211296,41.06275774,0,47.53460579,39.38185566,41.14276505,0,47.44467443,39.29024534,41.03065142
159300,0,47.29165024,39.08900575,40.89188088,0,47.29335637,39.09085539,40.89351022,0,47.35346603,39.15249935,40.97493565,0,47.26090684,39.05809755,40.86053352
160200,0,47.24192874,39.03888852,40.83951965,0,47.2436522,39.04075589,40.84116756,0,47.304292,39.10293161,40.92314486,0,47.21092648,39.0077204,40.80790505
161100,0,47.19256412,38.98914457,40.78766555,0,47.1943048,38.99102954,40.78933182,0,47.25547276,39.05373507,40.87185813,0,47.1613038,38.95771728,40.75578495
162000,0,47.14354744,38.93976401,40.73629775,0,47.14530523,38.94166645,40.73798218,0,47.20699938,39.00489985,40.82105469,0,47.11202988,38.90807831,40.70415234
162900,0,46.98007754,38.74852193,40.54585362,0,46.98189715,38.75049281,40.5475967,0,47.04500287,38.81528496,40.63225406,0,46.94796951,38.71617215,40.51309597
163800,0,46.92223214,38.6899607,40.48265243,0,46.92407092,38.69195055,40.48441518,0,46.98770558,38.75727601,40.56963504,0,46.88987276,38.65735872,40.44963779
164700,0,46.86486084,38.63190433,40.42025256,0,46.86671845,38.63391385,40.42203474,0,46.93087983,38.69976843,40.50781286,0,46.83225086,38.59905188,40.38698183
165600,0,47.3619778,39.08646409,40.75511031,0,47.36164888,39.08633915,40.75494709,0,46.87451223,38.64274719,40.4467503,0,47.37306775,39.09685251,40.76055452
166500,0,47.14416846,38.79692107,40.4674422,0,47.14388464,38.796922,40.46728346,0,47.12375454,38.77933665,40.47816797,0,47.15499383,38.80708149,40.47349989
167400,0,47.13156432,38.78167217,40.43937203,0,47.13129408,38.78168402,40.43921045,0,47.11135775,38.76426838,40.44980336,0,47.14233296,38.79177663,40.44568206
168300,0,47.12013448,38.76770004,40.413491,0,47.1198788,38.7677238,40.41332939,0,47.10017052,38.75051322,40.42372598,0,47.13082743,38.77772917,40.41999605
169200,0,47.10983565,38.75496016,40.38964068,0,47.10959468,38.75499665,40.3894806,0,47.09014134,38.73801703,40.39975161,0,47.12043923,38.7649017,40.39630219
170100,0,46.66608172,38.16009902,39.84856793,0,46.66586147,38.16043675,39.84843556,0,46.64582307,38.14285614,39.85749393,0,46.67737014,38.17103198,39.85633943
171000,0,46.63353652,38.12464737,39.79819136,0,46.63333908,38.12498895,39.79807341,0,46.61361755,38.10778155,39.80729576,0,46.64471186,38.13538744,39.80600638
171900,0,46.60193503,38.090114,39.74974488,0,46.60176226,38.09047329,39.74964266,0,46.5823711,38.07361663,39.75906141,0,46.61299472,38.10074133,39.75758034
172800,0,46.57125307,38.05662644,39.70305287,0,46.57110618,38.05701181,39.70296817,0,46.55205729,38.04046756,39.71259371,0,46.58219095,38.06714506,39.71086414
173700,0,47.03487992,38.61331088,40.17900553,0,47.03483626,38.61356638,40.17896671,0,47.0196413,38.60040769,40.19154831,0,47.04396059,38.62186294,40.18532552
